Time_minutes Average_cpu_utilization Powerdraw_kJ cpu_demand cpu_usage cpu_idle_time
7890 0.1111111111111111 206.76 103567.78920226938 102400.0 24000
7895 0.1111111111111111 206.76 104418.24121270199 102400.0 24000
7900 0.1111111111111111 206.76 102583.93436937667 102400.0 24000
7905 0.10861068185182864 205.78446135015787 100095.60439464527 100095.60439464527 24183
7910 0.10694431794529219 204.96217364138366 98559.88341838129 98559.88341838129 24339
7915 0.10659140276107423 204.7097526177168 98234.63678460602 98234.63678460602 24386
7920 0.10949620844807656 205.81875936177374 100911.70570574736 100911.70570574736 24177
7925 0.1111111111111111 206.64881148085 103049.07717520533 102400.0 24021
7930 0.1084774579347027 205.57291373208164 99972.82523262201 99972.82523262201 24225
7935 0.10828592425204352 205.47671966531874 99796.3077906833 99796.3077906833 24241
7940 0.10916121349719113 205.8033927989453 100602.97435901134 100602.97435901134 24180
7945 0.10861323614429755 205.65204287473858 100097.95843058462 100097.95843058462 24209
7950 0.10979421096880494 206.07242401963472 101186.34482885063 101186.34482885063 24129
7955 0.10831349518598889 205.5801093326658 99821.71716340736 99821.71716340736 24222
7960 0.10363324146887158 203.65706125161051 95508.39533771205 95508.39533771205 24584
7965 0.10272741849730474 202.97563829691708 94673.58888711604 94673.58888711604 24713
7970 0.10280566212974318 202.94229201097787 94745.69821877131 94745.69821877131 24718
7975 0.10669197486191405 204.45809182547032 98327.32403273998 98327.32403273998 24434
7980 0.10568260429866247 204.33935641767084 97397.08812164734 97397.08812164734 24455
7985 0.10609059759076316 204.426869102031 97773.09473964732 97773.09473964732 24439
7990 0.10596212247850834 204.4056564926058 97654.69207619329 97654.69207619329 24444
7995 0.10563449664305269 204.26929276673496 97352.75210623736 97352.75210623736 24468
8000 0.1071138714706424 204.82114634121953 98716.14394734404 98716.14394734404 24365
8005 0.1068775781118641 204.8334390414655 98498.37598789396 98498.37598789396 24363
8010 0.1054852880542491 204.2757387213558 97215.24147079597 97215.24147079597 24468
8015 0.10309672539641061 203.24950765131413 95013.94212533202 95013.94212533202 24660
8020 0.10397236477576748 203.4216865928322 95820.9313773473 95820.9313773473 24629
8025 0.10341118149152567 203.26522924277185 95303.74486259006 95303.74486259006 24658
8030 0.10399406316129484 203.45225088730456 95840.92860944931 95840.92860944931 24622
8035 0.10559523162388668 204.1155186291784 97316.56546457397 97316.56546457397 24498
8040 0.10539349268286885 204.14981183676423 97130.64285653194 97130.64285653194 24491
8045 0.10711119476368994 204.8031438960135 98713.67709421665 98713.67709421665 24369
8050 0.10697700195559173 204.87188859276475 98590.00500227333 98590.00500227333 24355
8055 0.10655193984501446 204.69725691054762 98198.26776116532 98198.26776116532 24388
8060 0.1071537857664243 204.88649407474696 98752.92896233663 98752.92896233663 24353
8065 0.1069716893668626 204.75042997139693 98585.10892050058 98585.10892050058 24383
8070 0.10582310026899738 204.41539982284604 97526.56920790799 97526.56920790799 24442
8075 0.1033320867466464 203.36856041035057 95230.85114570933 95230.85114570933 24638
8080 0.10419724152200013 203.5243192550093 96028.17778667533 96028.17778667533 24609
8085 0.10410489652814385 203.55078817622365 95943.07264033737 95943.07264033737 24604
8090 0.1036739546062051 203.37733485719562 95545.91656507862 95545.91656507862 24637
8095 0.10236228513903575 202.83861303704978 94337.08198413535 94337.08198413535 24738
8100 0.10127842979307361 202.3247409712523 93338.20089729663 93338.20089729663 24835
8105 0.09924781622896178 201.47789933410286 91466.78743661118 91466.78743661118 24998
8110 0.09851000019982864 201.06625653763115 90786.81618416207 90786.81618416207 25078
8115 0.09689296335753911 200.4272035524845 89296.55503030804 89296.55503030804 25207
8120 0.09820573081820372 200.79602572134138 90506.40152205655 90506.40152205655 25133
8125 0.09961303970662977 201.39758446116747 91803.37739362998 91803.37739362998 25012
8130 0.09430243051790152 199.5580796609074 86909.11996529804 86909.11996529804 25381
8135 0.08840074177595486 197.01521004220842 81470.12362072 81470.12362072 25882
8140 0.08426398311925365 194.8199017072767 77657.68684270416 77657.68684270416 26263
8145 0.0846327560813259 194.64696495616437 77997.54800454994 77997.54800454994 26293
8150 0.08592974632632083 195.23771854156254 79192.85421433729 79192.85421433729 26193
